count	name	scryfall_id
1	Call to the Grave
2	Bad Moon
1	Plague Wind
1	Damnation
1	Yixlid Jailer
1	Forsaken Wastes
2	Nested Ghoul
2	Infectious Horror
2	Delirium Skeins
1	Blind Creeper
2	Soulless One
2	Vengeful Dead
1	Fleshbag Marauder
1	Carrion Wurm
3	Maggot Carrier
4	Cackling Fiend
1	Death Baron
1	Grave Titan
2	Severed Legion
1	Skulking Knight
1	Undead Warchief
1	Twilights Call
1	Army of the Damned
1	Endless Ranks of the Dead
2	Rotting Fensnake
1	Unbreathing Horde
1	Walking Corpse
5	Zombie Giant
55	Zombie	8e214f84-01ee-49c1-8801-4e550b5ade5d
